IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP58;IP_PROP57;IP_PROP59;IC_GROUP0;IC_GROUP1;IC_GROUP2
1250;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О статусе муниципальных образований Республики Тыва»;1250;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1047-ПВХ;/upload/iblock/f27/1047-ПВХ.pdf;;;
1251;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О муниципальной службе»;1251;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1048-ПВХ;/upload/iblock/664/1048-ПВХ.pdf;;;
1252;О проекте закона Республики Тыва «Об участии Республики Тыва в государственно-частном партнерстве»;1252;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1049-ПВХ;/upload/iblock/9e5/1049-ПВХ.pdf;;;
1253;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О культуре»;1253;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1050-ПВХ;/upload/iblock/f2a/1050-ПВХ.pdf;;;
1254;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О библиотечном деле»;1254;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1051-ПВХ;/upload/iblock/98a/1051-ПВХ.pdf;;;
1255;О проекте закона Республики Тыва «О внесении изменений в отдельные законодательные акты Республики Тыва»;1255;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1052-ПВХ;/upload/iblock/14d/1052-ПВХ.pdf;;;
1256;Об отчете об исполнении республиканского бюджета Республики Тыва за первое полугодие 2016 года;1256;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1053-ПВХ;/upload/iblock/f91/1053-ПВХ.pdf;;;
1257;Об отчете о деятельности Счетной палаты Республики Тыва за 2015 год;1257;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1054-ПВХ;/upload/iblock/805/1054-ПВХ.pdf;;;
1258;О законодательной инициативе Верховного Хурала (парламента) Республики Тыва по внесению в Государственную Думу Федерального Собрания Российской Федерации проекта федерального закона «О внесении изменений в Кодекс Российской Федерации об административных ;1258;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1055-ПВХ;/upload/iblock/071/1055-ПВХ.pdf;;;
1259;Об утверждении примерного плана законопроектной работы Верховного Хурала (парламента) Республики Тыва на второе полугодие 2016 года;1259;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1056-ПВХ;/upload/iblock/f8e/1056-ПВХ.pdf;;;
1260;О проекте закона Республики Тыва «О внесении изменения в Закон Республики Тыва «О Реестре государственных должностей Республики Тыва»;1260;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1057-ПВХ;/upload/iblock/df5/1057-ПВХ.pdf;;;
1261;О Законе Республики Тыва «О внесении изменения в Закон Республики Тыва «О Реестре государственных должностей Республики Тыва»;1261;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1058-ПВХ;/upload/iblock/eb4/1058-ПВХ.pdf;;;
1262;О проекте закона Республики Тыва «О величине прожиточного минимума пенсионера в Республике Тыва на 2017 год»;1262;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1059-ПВХ;/upload/iblock/e41/1059-ПВХ.pdf;;;
1263;О Законе Республики Тыва «О величине прожиточного минимума пенсионера в Республике Тыва на 2017 год»;1263;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1060-ПВХ;/upload/iblock/940/1060-ПВХ.pdf;;;
1264;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О порядке предоставления в пользование участков недр для геологического изучения и добычи общераспространенных полезных ископаемых, а также в иных целях, не связанных с добыче;1264;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1061-ПВХ;/upload/iblock/32d/1061-ПВХ.pdf;;;
1265;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О порядке предоставления в пользование участков недр для геологического изучения и добычи общераспространенных полезных ископаемых, а также в иных целях, не связанных с добычей ;1265;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1062-ПВХ;/upload/iblock/d97/1062-ПВХ.pdf;;;
1266;О проекте закона Республики Тыва «О признании утратившим силу Закона Республики Тыва «О требованиях к качеству предоставления государственных услуг в Республике Тыва»;1266;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1063-ПВХ;/upload/iblock/dd8/1063-ПВХ.pdf;;;
1267;О Законе Республики Тыва «О признании утратившим силу Закона Республики Тыва «О требованиях к качеству предоставления государственных услуг в Республике Тыва»;1267;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1064-ПВХ;/upload/iblock/ae3/1064-ПВХ.pdf;;;
1268;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О библиотечном деле»;1268;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1065-ПВХ;/upload/iblock/4e9/1065-ПВХ.pdf;;;
1269;О проекте конституционного закона Республики Тыва «О внесении изменений в статьи 5 и 17 Конституционного закона Республики Тыва «О статусе Главы - Председателя Правительства Республики Тыва» и статью 13 Конституционного закона Республики Тыва «О Правитель;1269;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1066-ПВХ;/upload/iblock/fa0/1066-ПВХ.pdf;;;
1270;О проекте закона Республики Тыва «О внесении изменений в отдельные законодательные акты Республики Тыва о выборах и референдумах»;1270;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1067-ПВХ;/upload/iblock/9ba/1067-ПВХ.pdf;;;
1271;О проекте закона Республики Тыва «О внесении изменений в статьи 6 и 7 Закона Республики Тыва «О приватизации государственного имущества Республики Тыва»;1271;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1068-ПВХ;/upload/iblock/ba2/1068-ПВХ.pdf;;;
1272;О внесении изменений в Регламент Верховного Хурала (парламента) Республики Тыва;1272;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1069-ПВХ;/upload/iblock/419/1069-ПВХ.pdf;;;
1273;О представительских расходах в Верховном Хурале (парламенте) Республики Тыва;1273;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1070-ПВХ;/upload/iblock/c77/1070-ПВХ.pdf;;;
1274;О протесте прокурора Республики Тыва на Закон Республики Тыва от 22 июня 2016 года № 179-ЗРТ «О внесении изменений в статьи 2 и 3 Закона Республики Тыва «Об организации проведения капитального ремонта общего имущества в многоквартирных домах, расположенны;1274;Y;27.10.2016 20:00:00;;;;text;;;text;;500;;28.10.2016;1071-ПВХ;/upload/iblock/87b/1071-ПВХ.pdf;;;
